alps/hct17_ics2/hct17_ics2:4.0.4/IMM76D/1363001044:user/test-keys,1500
Xiaomi/pisces/pisces:4.2.1/JOP40D/4.1.3:user/release-keys,3050
Xiaomi/pisces/pisces:4.2.1/JOP40D/4.1.3:user/release-keys,3050
iwoo/i880/msm7627a:2.3.6/GINGERBREAD/60:user/test-keys,1500
Xiaomi/2013022/HM2013022:4.2.1/HM2013022/JHACNAH3.0:user/release-keys,2050
Xiaomi/2013022/HM2013022:4.2.1/HM2013022/JHACNAH3.0:user/release-keys,2050
Coolpad/dkb/dkb:2.3.7/GWK74/2.3.056.P2.121103.8180:user/release-keys,1850
LOLLIPOP-2/t6_2g_md/t6_2g:4.0.3/IML74K/T6.2G.MD.V3.01:user/test-keys,1800
Coolpad/Coolpad5930/Coolpad5930:4.1.2/JZO54K/4.1.047.P1.130514.5930:user/release-keys,2000
Coolpad/CP8070D/CP8070D:4.0.3/IML74K/eng.lyf.20130522.104017:user/release-keys,1800
Lenovo/S899t/S899t:4.0.3/S-2-20/20120828.141756:user/release-keys,4100
ZTE/N880E_JB4_2/atlas40:4.2/JOP40C/20121121.110335:user/release-keys,1500
Huawei/T8951/hwt8951:4.0.4/HuaweiT8951/C01B115:user/ota-rel-keys,release-keys,1700
Coolpad/7230S/Coolpad7230S:4.2.2/JDQ39/1382709823:user/release-keys,1500
google/nakasi/grouper:4.4.2/KOT49H/937116:user/release-keys,4350
sprd/sprdroid_base/hsdroid:2.3.5/MocorDroid2.3.5/W12.20_P10_20130201.113712:user/test-keys,1500
htccn_chs_ct/htc_primodd/primodd:4.0.3/IML74K/115860.11:user/release-keys,1520
alps/bird72_wet_c_jb3/bird72_wet_c_jb3:4.2.2/JDQ39/1385019872:user/test-keys,1800
vivo/bbk77_cu_jb/bbk77_cu_jb:4.1.1/JRO03C/1371548454:user/test-keys,2500
LOLLIPOP-2/t6_2g_md/t6_2g:4.0.3/IML74K/T6.2G.MD.V3.01:user/test-keys,1800
AMOI/amoi77_cu_ics2/amoi77_cu_ics2:4.0.4/IMM76D/1348829845:user/release-keys,2050
vivo/bbk82_wet_jb5/bbk82_wet_jb5:4.2.2/JDQ39/:user/test-keys,1900
qcom/msm7627a_sku3/msm7627a_sku3:2.3.5/GRJ90/eng.xiaody.20130708.153037:eng/debug,test-keys,1700
vivo/msm7627_ffa/msm7627_ffa:2.3.3/GINGERBREAD/eng.compiler.20130813.084450:user/test-keys,1500
Meizu/meizu_mx2/mx2:4.2.1/JOP40D/M04X.Flyme_OS_3.2.1387281333:user/release-keys,1800
IFive/rk30sdk/rk30sdk:4.2.2/JDQ39/eng.root.20131120.160125:eng/test-keys,8500
Lenovo/sicily/sicily:4.0.4/IMM76I/A586_1_S_2_SS_0134_130325:user/release-keys,455555
rk2928sdk/rk2928sdk/rk2928sdk:4.1.1/JRO03H/20121226.155734:eng/release-keys,2500
google/htc_leo/leo:4.1.2/JZO54K/485486:user/release-keys,1630
ZTE/U960s3/U960s3:4.0.4/IMM76D/eng.root.20121212.115138:user/release-keys,3500
Xiaomi/pisces/pisces:4.2.1/JOP40D/JXCCNAL11.0:user/release-keys,3050
Verizon/jaspervzw/jaspervzw:4.1.2/JZO54K/I200VRBMA1:user/release-keys,2100
Huawei/H30-T00/hwH30-T00:4.2.2/HuaweiH30-T00/C00B113:user/ota-rel-keys,release-keys,2300
Lenovo/LePhone/A288t:2.3.5/MocorDroid2.3.5/A288t_S161_120516.20121228:user/release-keys,1800
Lenovo/LePhone/A288t:2.3.5/MocorDroid2.3.5/A288t_S161_120516.20121228:user/release-keys,1870
alps/l7e3_ymx/l7e3_ymx:4.1.1/JRO03C/1368007446:user/test-keys,1700
teclast/fiber_P78s/fiber-P78s:4.2.2/JDQ39/20131129:eng/test-keys,3000
rk30sdk/rk30sdk/rk30sdk:4.2.2/JDQ39/eng.swfour.20130627.221745:eng/test-keys,3500
