摩西V670, moses V670 ,800
纽曼P10,newsmy  P10 ,800
波导V398, BiRD V398 ,800
诺基亚C1-02i, NOKIA C1-02i ,800
纽曼H2手机,newsmy  H2 ,800
联想S200, Lenovo S200  ,800
欧新V20, HOSIN V20 ,800
三星E1200M, SAMSUNG E1200M ,800
优酷S608, Ucoo S608 ,800
天语 ES65,k-touch  ES65 ,800
至尊宝D202, Bestsonny D202 ,800
海尔V72, Haier V72 ,800
海尔K72, Haier K72 ,800
爱国者G6, aigo G6 ,800
海尔K70, Haier K70 ,800
联想S550, Lenovo S550 ,800
优摩L301, UMO L301 ,800
步步高i270,BBK  i270 ,800
海尔V73, Haier V73 ,800
LG KV775,lge LG KV775 ,800
高新奇H21, GXQ H21 ,800
步步高i18,BBK  i18 ,800
创维酷开 N100, skyworthwireless N100 ,800
华为U5110, HUAWEI U5110 ,800
欧新S20, HOSIN S20 ,800
亿通M15,  M15 ,800
诺基亚1060, NOKIA 1060 ,800
爱国者G6s, aigo G6s ,800
广信CF328, KINGSUN CF328 ,800
港利通D2828, Kong-Profit D2828 ,800
天禧禅机(典藏版), Wellwishing () ,800
OPPO U521,oppo  U521 ,800
乐讯A68, LEXUN A68 ,800
华为C2299, HUAWEI C2299 ,800
联想i320, Lenovo i320 ,800
普莱达D2698, PULID D2698 ,800
山寨手机W850叮当猫手机,  W850 ,800
步步高i269,BBK  i269 ,800
海尔M217, Haier M217 ,800
优酷UC289, Ucoo UC289 ,800
三星c3520(红色), SAMSUNG c3520() ,800
天语D173+,k-touch  D173+ ,800
海尔HC-D500, Haier HC-D500 ,800
海尔V80, Haier V80 ,800
天禧禅机(珍藏版), Wellwishing () ,800
海尔HC-C200, Haier HC-C200 ,800
海尔V73+, Haier V73+ ,800
联想S62, Lenovo S62 ,800
首信S768, capitel S768 ,800
LG KF300,lge LG KF300 ,800
海信HS-C100, Hisense HS-C100 ,800
海信HS-C278, Hisense HS-C278 ,800
三星E1228, SAMSUNG E1228 ,800
迪士尼X32,  X32 ,800
亿通M16,  M16 ,800
天语V320,k-touch  V320 ,800
七喜M868MINI, HEDY M868MINI ,800
联想S500, Lenovo S500 ,800
西铂V998, CCPO V998 ,800
至能L1688,  L1688 ,800
步步高i267,BBK  i267 ,800
步步高i270B,BBK  i270B ,800
创维A6, SKYWORTH A6 ,800
七喜V003, HEDY V003 ,800
联想A200, Lenovo A200 ,800
天语V310,k-touch  V310 ,800
波导E68, BiRD E68 ,800
天语B5200,k-touch  B5200 ,800
金立S606, Gionee S606 ,800
三星B309, SAMSUNG B309 ,800
联想S520, Lenovo S520 ,800
诺基亚113, NOKIA 113 ,800
普莱达 D302, PULID D302 ,800
海信HS-C190, Hisense HS-C190 ,800
步步高i6,BBK  i6 ,800
联想X1铂, Lenovo X1 ,800
联想I300(专业版), Lenovo I300() ,800
天禧禅机(收藏版), Wellwishing () ,800
华为2905, HUAWEI 2905 ,800
三星E329i, SAMSUNG E329i ,800
爱国者WEE(G6), aigo WEE(G6) ,800
联想E268, Lenovo E268  ,800
齐乐3000, CHERR 3000 ,800
联想i300(精英版), Lenovo i300() ,800
联想MA512, Lenovo MA512 ,800
三星c3520(黑色), SAMSUNG c3520() ,800
海尔A70, Haier A70 ,800
天语A992+,k-touch  A992+ ,800
诺基亚100, NOKIA 100 ,800
乐讯A8, LEXUN A8 ,800
波导硕码F19, BiRD F19 ,800
联想S630, Lenovo S630 ,800
诺基亚1050, NOKIA 1050 ,800
唯科V868(阿蒙拉),  V868() ,800
普莱达D106, PULID D106 ,800
诺基亚N1280, NOKIA N1280 ,800
普莱达K288, PULID K288 ,800
诺基亚1010, NOKIA  1010 ,800
诺基亚1280, NOKIA 1280 ,800
联想i55糖果, Lenovo i55 ,800
LG GM210,lge LG GM210 ,800
步步高i518,BBK  i518 ,820
步步高i266B,BBK  i266B ,820
恒基伟业U9, HENGJWY U9 ,820
步步高i531,BBK  i531 ,820
步步高i508(梦幻西游限量版),BBK  i508() ,820
联想S700+, Lenovo S700+ ,820
步步高i508,BBK  i508 ,820
步步高i266,BBK  i266  ,820
