m701,m701,1
meitukiss,meitukiss,1
meizum9,meizum9,1
meizumx,meizumx,1
motoroladroid2,motoroladroid2,1
motoroladroid2global,motoroladroid2global,1
motoroladroid4,motoroladroid4,1
motoroladroidx,motoroladroidx,1
motoroladroidx2,motoroladroidx2,1
motorolaelectrify,motorolaelectrify,1
motorolamb200,motorolamb200,1
motorolamb508,motorolamb508,1
motorolame501,motorolame501,1
motorolame511,motorolame511,1
motorolame600,motorolame600,1
motorolame632,motorolame632,1
motorolame722,motorolame722,1
motorolame863,motorolame863,1
motorolamilestone,motorolamilestone,1
motorolamt887,motorolamt887,1
motorolamt917,motorolamt917,1
motorolaxt300,motorolaxt300,1
motorolaxt301,motorolaxt301,1
motorolaxt316,motorolaxt316,1
motorolaxt319,motorolaxt319,1
motorolaxt389,motorolaxt389,1
motorolaxt390,motorolaxt390,1
motorolaxt615,motorolaxt615,1
motorolaxt685,motorolaxt685,1
motorolaxt720,motorolaxt720,1
motorolaxt760,motorolaxt760,1
motorolaxt800,motorolaxt800,1
motorolaxt800+,motorolaxt800+,1
motorolaxt882,motorolaxt882,1
motorolaxt883,motorolaxt883,1
motorolaxt885,motorolaxt885,1
motorolaxt889,motorolaxt889,1
motorolaxt890,motorolaxt890,1
motorolaxt897,motorolaxt897,1
motorolaxt907,motorolaxt907,1
motorolaxt910,motorolaxt910,1
motorolaxt928,motorolaxt928,1
n79,n79,1
nec909e,nec909e,1
oppor809t,oppor809t,1
oppor815t,oppor815t,1
oppor819t,oppor819t,1
oppor821t,oppor821t,1
oppor823t,oppor823t,1
oppox907,oppox907,1
samsunggalaxys3,samsunggalaxys3,1
samsunggt-i9000,samsunggt-i9000,1
samsungi9128v,samsungi9128v,1
samsungsch-i500,samsungsch-i500,1
sharpis14sh,sharpis14sh,1
sharpsh-01d,sharpsh-01d,1
sharpsh-02e,sharpsh-02e,1
sharpsh-06d,sharpsh-06d,1
sharpsh-06e,sharpsh-06e,1
sharpsh-10d,sharpsh-10d,1
sharpsh8158u,sharpsh8158u,1
sharpsh8298u,sharpsh8298u,1
sonyericssone16i,sonyericssone16i,1
sonyericssonlt15i,sonyericssonlt15i,1
sonyericssonlt18i,sonyericssonlt18i,1
sonyericssonmt11i,sonyericssonmt11i,1
sonyericssonst17i,sonyericssonst17i,1
sonyericssonst18i,sonyericssonst18i,1
sonyericssonwt19i,sonyericssonwt19i,1
sonyericssonx10i,sonyericssonx10i,1
sonys39h,sonys39h,1
sonyxl39h,sonyxl39h,1
tclj310,tclj310,1
tclw989,tclw989,1
thla2,thla2,1
thlv11,thlv11,1
thlv12,thlv12,1
thlv9,thlv9,1
thlw1,thlw1,1
thlw2,thlw2,1
thlw3,thlw3,1
thlw5,thlw5,1
thlw7,thlw7,1
thlw8,thlw8,1
vertuti,vertuti,1
z7,z7,1
ztegrands,ztegrands,1
zten855d,zten855d,1
zten880e,zten880e,1
zten880f,zten880f,1
zten880g,zten880g,1
