K900(16GB),2500
htc a8180,1400
i405galaxy metrix 4g,1800
i1,2800
u930,1600
T96,1630
vivo X1S,2000
TCL J320,1500
Galaxy Precedent(M828C),1500
8150S,1500
Z1S,3000
HTC Hero200,1350
sh630e,1600
U8800,1500
MIONE_PLUS,1930
GALAXY S4 Zoom C101,2330
W536,1630
i847rugby smart,1650
n700,1450
GALAXY Note II LTE N7105,3100
n707,1400
n7105galaxy note ii lte,3100
padfone lte,1520
Titanium,1820
N860,1250
c06,1400
Mirror,2630
8150d,1500
tcl a996,1500
XT883,1500
XT882,1880
ZTE-X850,1000
c8820,1350
LG Optimus L4 II,1700
U819,2000
w960,1750
htc x515erider,1730
u8950d +,1930
Xperia ZR M36h,2300
U810,1280
C8850(Vision ),1400
U817,1600
HTC Desire Z,1300
Ascend P3,2000
zopo zp300+,1800
GEAK Eye,2000
S801,1500
TCL J300,1400
LG-P940,1540
LG VS920,1500
HTC INSPIRE 4G,1230
beTouch E400,1090
HTC Desire L,1800
mt28ixperia sx,1500
xt780razr m,1550
Xperia T LT30p,1850
HTC MyTouch 3G Slide,1300
ME600/MB300,1380
M9(8G),1370
MX16GB RE,1700
LG-GW620,1500
PC36100,1500
G610T,2150
oppo r811,1520
U81t,1700
G2,2050
U9500(Ascend D1),1800
ZTE-U V960,1400
V999,3000
HTC A510C,1230
i339,1200
HTC Sensation XE(G18),1730
VIVO S1,1920
s7500galaxy ace plus,1300
pf112,1650
90W(7290),1800
1600,1500
OT 986(360),1800
Q1,2000
GN160T,2500
koobee a660,1500
COOLPAD N950,1300
HUAWEI U8800 PLUS,1500
u9508,2230
p701+,4000
T959(Galaxy S),1500
s6102e,1300
d98,1500
HTC Sensation 4G,1520
A6188W,1340
ot 927,1150
a820l,1830
GN787,2000
XT800 PLUS,1390
TCL C993,1500
HTC DESIRE S,1450
G95,2500
G90,4800
V936,2000
GT-P1000,4000
104SH,1520
Droid(Sholes) A855,1400
V818,1500
S5838,1350
HTC HD2 TX1A,1230
2S(16GB),2000
acer e350liquid gallant,1500
GALAXY S3(I9300),2100
s007,1550
M3(Mi3),3600
HTC A8180(,G7),1400
I9105P(GALAXY SII Plus),1650
a1260,1130
