alps-dk35a++,		alps  g3  ,					2750,		0.583333
alps-dk35b,		alps  g3  ,					2750,		0.583333
alps-dkmobiles,		alps  g4  ,					1850,		0.000000
alps-dmd g20b,		alps  g2 ,					2050,		0.866667
alps-doeasy_e800,		alps  g4  ,					1850,		0.000000
alps-doov_d600,		alps  g4  ,					1850,		0.000000
alps-dty,		alps  t1 ,					1050,		0.611111
alps-dw-e20,		alps  g2 ,					2050,		0.583333
alps-dx678,		alps  x1 ,					2400,		0.566667
alps-domod g17,		alps  g1 ,					1350,		0.911111
alps-dorado d1+,		alps  t1 ,					1050,		0.666667
alps-e10b,		alps  t1 ,					1050,		0.583333
alps-e120l,		alps  g2 ,					2050,		0.566667
alps-e5680,		alps  g4  ,					1850,		0.000000
alps-e818,		alps  t1 ,					1050,		0.583333
alps-e830,		alps  g3  ,					2750,		0.583333
alps-e9,		alps  g4  ,					1850,		0.000000
alps-e900,		alps  g4  ,					1850,		0.000000
alps-e9002,		alps  g4  ,					1850,		0.000000
alps-e9003,		alps  g4  ,					1850,		0.000000
alps-e96,		alps  g4  ,					1850,		0.000000
alps-e960,		alps  g4  ,					1850,		0.000000
alps-ea6900t,		alps  g4  ,					1850,		0.000000
alps-ebest f5,		alps  g4  ,					1850,		0.000000
alps-ebest v8,		alps  g4  ,					1850,		0.000000
alps-epade s3,		alps  g3  ,					2750,		0.666667
alps-et a16,		alps  t1 ,					1050,		0.611111
alps-eta 18,		alps  t1 ,					1050,		0.666667
alps-eton t750,		alps  t1 ,					1050,		0.625000
alps-f-one,		alps  g4  ,					1850,		0.000000
alps-f108w,		alps  t1 ,					1050,		0.566667
alps-fdt c838,		alps  g3  ,					2750,		0.583333
alps-fdt g505,		alps  g4  ,					1850,		0.625000
alps-g100,		alps  g1 ,					1350,		0.866667
alps-g23,		alps  g2 ,					2050,		0.911111
alps-g5,		alps  g4  ,					1850,		0.700000
alps-g7,		alps  g4  ,					1850,		0.700000
alps-g8801,		alps  g4  ,					1850,		0.610000
alps-g8802,		alps  g4  ,					1850,		0.610000
alps-g9,		alps  g4  ,					1850,		0.700000
alps-g9800+,		alps  g4  ,					1850,		0.610000
alps-getek-a5,		alps  g4  ,					1850,		0.000000
alps-getek-a6b,		alps  g4  ,					1850,		0.000000
alps-getek-a8,		alps  g4  ,					1850,		0.000000
alps-gfive a770,		alps  g4  ,					1850,		0.000000
alps-ghong t618,		alps  t1 ,					1050,		0.850000
alps-gipo-i66,		alps  g4  ,					1850,		0.000000
alps-gk1198,		alps  g1 ,					1350,		0.800000
alps-gn800,		alps  g4  ,					1850,		0.610000
alps-go f1,		alps  t1 ,					1050,		0.666667
alps-gob a360,		alps  g3  ,					2750,		0.583333
alps-gobo i8,		alps  g4  ,					1850,		0.000000
alps-gocan-p98,		alps  g4  ,					1850,		0.000000
alps-gt-i8190,		alps  g4  ,					1850,		0.000000
alps-gt-i9502,		alps  g4  ,					1850,		0.000000
alps-gt-i9508,		alps  g4  ,					1850,		0.000000
alps-gt-n7100,		alps  g4  ,					1850,		0.000000
alps-gt-n7102,		alps  g4  ,					1850,		0.000000
alps-gt-s5830,		alps  g4  ,					1850,		0.000000
alps-gt-s5830i,		alps  g4  ,					1850,		0.000000
alps-gt-s7562,		alps  g4  ,					1850,		0.000000
alps-gt-i9220,		alps  g4  ,					1850,		0.000000
alps-gt-i9300,		alps  g4  ,					1850,		0.000000
alps-gt_s5830i,		alps  g4  ,					1850,		0.000000
alps-gxq_g1,		alps  g1 ,					1350,		1.000000
alps-h15 aries,		alps  t1 ,					1050,		0.611111
alps-h311,		alps  g3  ,					2750,		0.583333
alps-h701,		alps  g4  ,					1850,		0.000000
alps-h7538,		alps  g4  ,					1850,		0.000000
alps-hd-89,		alps  g4  ,					1850,		0.000000
alps-hd470,		alps  g4  ,					1850,		0.566667
alps-hedy_h701,		alps  g4  ,					1850,		0.000000
alps-hedy_s801,		alps  g4  ,					1850,		0.000000
alps-hoow g6,		alps  g4  ,					1850,		0.700000
alps-hosin t70,		alps  t1 ,					1050,		0.650000
alps-hosin t70(open),		alps  t1 ,					1050,		0.650000
alps-hosin u98,		alps  g4  ,					1850,		0.000000
alps-hosin_v90,		alps  g4  ,					1850,		0.000000
alps-ht7100,		alps  g4  ,					1850,		0.000000
alps-htc evo 4gs,		alps  g4  ,					1850,		0.722222
alps-htc one s,		alps  t1 ,					1050,		0.537037
alps-htc one x,		alps  t1 ,					1050,		0.537037
alps-htc rezound,		alps  t1 ,					1050,		0.530303
alps-htc_one,		alps  t1 ,					1050,		0.547619
alps-htc_one_s,		alps  t1 ,					1050,		0.537037
alps-hw-w718,		alps  g4  ,					1850,		0.000000
alps-hx-m02,		alps  g4  ,					1850,		0.000000
alps-hx838,		alps  x1 ,					2400,		0.566667
alps-haier-w718,		alps  g4  ,					1850,		0.000000
alps-huawei,		alps  g4  ,					1850,		0.000000
alps-i3,		alps  g3  ,					2750,		0.666667
alps-i8000s,		alps  g4  ,					1850,		0.000000
alps-i9000,		alps  g4  ,					1850,		0.000000
alps-i9000s,		alps  g4  ,					1850,		0.000000
alps-i9200,		alps  g2 ,					2050,		0.566667
alps-i9900s,		alps  g4  ,					1850,		0.000000
alps-ihd828,		alps  g4  ,					1850,		0.000000
alps-ihd866,		alps  g4  ,					1850,		0.000000
alps-ing800,		alps  g4  ,					1850,		0.566667
alps-iusai i500,		alps  g4  ,					1850,		0.000000
alps-iusai i701,		alps  g4  ,					1850,		0.000000
alps-infinity hd2,		alps  g2 ,					2050,		0.611111
alps-infinity hd2+,		alps  g2 ,					2050,		0.611111
alps-j358,		alps  g3  ,					2750,		0.583333
alps-jxd_p300,		alps  g3  ,					2750,		0.583333
alps-jy-g1,		alps  g1 ,					1350,		0.888889
alps-jy-g2,		alps  g2 ,					2050,		0.888889
alps-k-touch kis 1,		alps  g4  ,					1850,		0.000000
alps-k-touch u81t,		alps  t1 ,					1050,		0.583333
alps-k-one,		alps  g4  ,					1850,		0.000000
alps-k1391,		alps  g3  ,					2750,		0.566667
alps-k2,		alps  g2 ,					2050,		0.666667
alps-k5,		alps  g4  ,					1850,		0.000000
alps-kava v800,		alps  g4  ,					1850,		0.000000
alps-kava,		alps  g4  ,					1850,		0.000000
alps-kpt a43w,		alps  g4  ,					1850,		0.583333
alps-kpt a9plus,		alps  g4  ,					1850,		0.000000
alps-kt918+,		alps  g4  ,					1850,		0.000000
alps-kliton i806ls,		alps  g4  ,					1850,		0.000000
alps-kliton-i51sh,		alps  g4  ,					1850,		0.000000
alps-kliton-p600,		alps  g4  ,					1850,		0.000000
alps-la-i dual core,		alps  g4  ,					1850,		0.000000
alps-la-i q1,		alps  t1 ,					1050,		0.666667
alps-la-i,		alps  g4  ,					1850,		0.000000
alps-la-q1,		alps  t1 ,					1050,		0.611111
alps-lg9100,		alps  g4  ,					1850,		0.555556
alps-lingwin u820s,		alps  g2 ,					2050,		0.566667
alps-lm a15,		alps  t1 ,					1050,		0.611111
alps-lm a15+,		alps  t1 ,					1050,		0.611111
alps-lxt,		alps  x1 ,					2400,		0.611111
alps-lenovo a820t,		alps  g2 ,					2050,		0.566667
alps-lingwin 880c,		alps  g4  ,					1850,		0.000000
alps-lovme x20,		alps  x1 ,					2400,		0.650000
alps-m2,		alps  g2 ,					2050,		0.666667
alps-m7,		alps  g4  ,					1850,		0.000000
alps-mastone g13,		alps  g1 ,					1350,		0.911111
alps-md656ll,		alps  g4  ,					1850,		0.000000
alps-mi2,		alps  g2 ,					2050,		0.611111
alps-mid,		alps  g4  ,					1850,		0.000000
alps-migo_g9100,		alps  g1 ,					1350,		0.820000
alps-mini520,		alps  g4  ,					1850,		0.000000
alps-mlled m1,		alps  t1 ,					1050,		0.666667
alps-mlled_m1,		alps  t1 ,					1050,		0.666667
alps-mofoto t6100,		alps  t1 ,					1050,		0.820000
alps-mofut f1,		alps  t1 ,					1050,		0.666667
alps-mofut t5,		alps  t1 ,					1050,		0.700000
alps-mofut-f8sh,		alps  g4  ,					1850,		0.000000
alps-mofut-f8yl,		alps  g4  ,					1850,		0.000000
alps-mt6589,		alps  t1 ,					1050,		0.555556
alps-mx x1,		alps  x1 ,					2400,		1.000000
alps-mx-2,		alps  x1 ,					2400,		0.650000
alps-mx2,		alps  g2 ,					2050,		0.611111
alps-myphone a848i duo,		alps  g4  ,					1850,		0.566667
alps-mytel,		alps  g4  ,					1850,		0.000000
alps-n620,		alps  g2 ,					2050,		0.583333
alps-n9,		alps  g4  ,					1850,		0.000000
alps-n920a,		alps  g2 ,					2050,		0.566667
alps-noain a609,		alps  g4  ,					1850,		0.000000
alps-noain a700,		alps  g4  ,					1850,		0.000000
alps-noain a900,		alps  g4  ,					1850,		0.000000
alps-noain a900s,		alps  g4  ,					1850,		0.000000
alps-noain a908,		alps  g4  ,					1850,		0.000000
alps-netpal_a8_mipad,		alps  g4  ,					1850,		0.000000
alps-newcall-ag795,		alps  g4  ,					1850,		0.566667
alps-newish w500,		alps  g4  ,					1850,		0.000000
alps-ok a15至尊版,		alps  t1 ,					1050,		0.611111
alps-oka13,		alps  t1 ,					1050,		0.583333
alps-oku1,		alps  t1 ,					1050,		0.611111
alps-opsson ivo6600,		alps  g4  ,					1850,		0.000000
alps-opsson imo f4t,		alps  g4  ,					1850,		0.611111
alps-opsson imo1000,		alps  t1 ,					1050,		0.555556
alps-opsson imo850,		alps  g4  ,					1850,		0.000000
alps-ouki ok16s,		alps  t1 ,					1050,		0.583333
alps-ouki-a8,		alps  g4  ,					1850,		0.000000
alps-ozzo-119+,		alps  t1 ,					1050,		0.566667
alps-ozzo-119a,		alps  t1 ,					1050,		0.566667
alps-ozzo-158,		alps  t1 ,					1050,		0.566667
alps-p01c,		alps  t1 ,					1050,		0.583333
alps-p200,		alps  g2 ,					2050,		0.583333
alps-p200四核,		alps  g2 ,					2050,		0.583333
alps-p2a,		alps  g2 ,					2050,		0.611111
alps-p5,		alps  g4  ,					1850,		0.000000
alps-p568d,		alps  g4  ,					1850,		0.000000
alps-p860,		alps  g4  ,					1850,		0.000000
