alps-e818,		alps  t1 ,					1050
alps-e830,		alps  g3  ,					2750
alps-e9,		alps  g4  ,					1850
alps-e900,		alps  g4  ,					1850
alps-e9002,		alps  g4  ,					1850
alps-e9003,		alps  g4  ,					1850
alps-e96,		alps  g4  ,					1850
alps-e960,		alps  g4  ,					1850
alps-ea6900t,		alps  g4  ,					1850
alps-ebest f5,		alps  g4  ,					1850
alps-ebest v8,		alps  g4  ,					1850
alps-epade s3,		alps  g3  ,					2750
alps-et a16,		alps  t1 ,					1050
alps-eta 18,		alps  t1 ,					1050
alps-eton t750,		alps  t1 ,					1050
alps-f-one,		alps  g4  ,					1850
alps-f108w,		alps  t1 ,					1050
alps-fdt c838,		alps  g3  ,					2750
alps-fdt g505,		alps  g4  ,					1850
alps-g100,		alps  g1 ,					1350
alps-g23,		alps  g2 ,					2050
alps-g5,		alps  g4  ,					1850
alps-g7,		alps  g4  ,					1850
alps-g8801,		alps  g4  ,					1850
alps-g8802,		alps  g4  ,					1850
alps-g9,		alps  g4  ,					1850
alps-g9800+,		alps  g4  ,					1850
alps-getek-a5,		alps  g4  ,					1850
alps-getek-a6b,		alps  g4  ,					1850
alps-getek-a8,		alps  g4  ,					1850
alps-gfive a770,		alps  g4  ,					1850
alps-ghong t618,		alps  t1 ,					1050
alps-gipo-i66,		alps  g4  ,					1850
alps-gk1198,		alps  g1 ,					1350
alps-gn800,		alps  g4  ,					1850
alps-go f1,		alps  t1 ,					1050
alps-gob a360,		alps  g3  ,					2750
alps-gobo i8,		alps  g4  ,					1850
alps-gocan-p98,		alps  g4  ,					1850
alps-gt-i8190,		alps  g4  ,					1850
alps-gt-i9502,		alps  g4  ,					1850
alps-gt-i9508,		alps  g4  ,					1850
alps-gt-n7100,		alps  g4  ,					1850
alps-gt-n7102,		alps  g4  ,					1850
alps-gt-s5830,		alps  g4  ,					1850
alps-gt-s5830i,		alps  g4  ,					1850
alps-gt-s7562,		alps  g4  ,					1850
alps-gt-i9220,		alps  g4  ,					1850
alps-gt-i9300,		alps  g4  ,					1850
alps-gt_s5830i,		alps  g4  ,					1850
alps-gxq_g1,		alps  g1 ,					1350
alps-h15 aries,		alps  t1 ,					1050
alps-h311,		alps  g3  ,					2750
alps-h701,		alps  g4  ,					1850
alps-h7538,		alps  g4  ,					1850
alps-hd-89,		alps  g4  ,					1850
alps-hd470,		alps  g4  ,					1850
alps-hedy_h701,		alps  g4  ,					1850
alps-hedy_s801,		alps  g4  ,					1850
alps-hoow g6,		alps  g4  ,					1850
alps-hosin t70,		alps  t1 ,					1050
alps-hosin t70(open),		alps  t1 ,					1050
alps-hosin u98,		alps  g4  ,					1850
alps-hosin_v90,		alps  g4  ,					1850
alps-ht7100,		alps  g4  ,					1850
alps-htc evo 4gs,		alps  g4  ,					1850
alps-htc one s,		alps  t1 ,					1050
alps-htc one x,		alps  t1 ,					1050
alps-htc rezound,		alps  t1 ,					1050
alps-htc_one,		alps  t1 ,					1050
alps-htc_one_s,		alps  t1 ,					1050
alps-hw-w718,		alps  g4  ,					1850
alps-hx-m02,		alps  g4  ,					1850
alps-hx838,		alps  x1 ,					2400
alps-haier-w718,		alps  g4  ,					1850
alps-huawei,		alps  g4  ,					1850
alps-i3,		alps  g3  ,					2750
alps-i8000s,		alps  g4  ,					1850
alps-i9000,		alps  g4  ,					1850
alps-i9000s,		alps  g4  ,					1850
alps-i9200,		alps  g2 ,					2050
alps-i9900s,		alps  g4  ,					1850
alps-ihd828,		alps  g4  ,					1850
alps-ihd866,		alps  g4  ,					1850
alps-ing800,		alps  g4  ,					1850
alps-iusai i500,		alps  g4  ,					1850
alps-iusai i701,		alps  g4  ,					1850
alps-infinity hd2,		alps  g2 ,					2050
alps-infinity hd2+,		alps  g2 ,					2050
alps-j358,		alps  g3  ,					2750
alps-jxd_p300,		alps  g3  ,					2750
alps-jy-g1,		alps  g1 ,					1350
alps-jy-g2,		alps  g2 ,					2050
alps-k-touch kis 1,		alps  g4  ,					1850
alps-k-touch u81t,		alps  t1 ,					1050
alps-k-one,		alps  g4  ,					1850
alps-k1391,		alps  g3  ,					2750
alps-k2,		alps  g2 ,					2050
alps-k5,		alps  g4  ,					1850
alps-kava v800,		alps  g4  ,					1850
alps-kava,		alps  g4  ,					1850
alps-kpt a43w,		alps  g4  ,					1850
alps-kpt a9plus,		alps  g4  ,					1850
alps-kt918+,		alps  g4  ,					1850
alps-kliton i806ls,		alps  g4  ,					1850
alps-kliton-i51sh,		alps  g4  ,					1850
alps-kliton-p600,		alps  g4  ,					1850
alps-la-i dual core,		alps  g4  ,					1850
alps-la-i q1,		alps  t1 ,					1050
alps-la-i,		alps  g4  ,					1850
alps-la-q1,		alps  t1 ,					1050
alps-lg9100,		alps  g4  ,					1850
alps-lingwin u820s,		alps  g2 ,					2050
alps-lm a15,		alps  t1 ,					1050
alps-lm a15+,		alps  t1 ,					1050
alps-lxt,		alps  x1 ,					2400
alps-lenovo a820t,		alps  g2 ,					2050
alps-lingwin 880c,		alps  g4  ,					1850
alps-lovme x20,		alps  x1 ,					2400
alps-m2,		alps  g2 ,					2050
