=====================start
new message format: id=50, num=10010, content=TCYL
new message format: id=51, num=10086, content=CXGPRSTC
new message format: id=52, num=10001, content=702
new message format: id=53, num=10086, content=1091
new message format: id=54, num=10086, content=话费
new message format: id=55, num=10010, content=107
new message format: id=56, num=10086, content=查流量
new message format: id=57, num=10086, content=119
new message format: id=58, num=10010, content=110
new message format: id=59, num=10010, content= 2082
new message format: id=60, num=10010, content=查询流量
new message format: id=61, num=10010, content=704
new message format: id=62, num=10010, content=7011#201309
new message format: id=63, num=10086, content=162
new message format: id=64, num=10086, content=66
new message format: id=65, num=10010, content=5142
new message format: id=66, num=10086, content=1581
new message format: id=67, num=10001, content=199
new message format: id=68, num=10086, content=102
new message format: id=69, num=10086, content=103
new message format: id=70, num=10001, content=109
new message format: id=71, num=10086, content=105
new message format: id=72, num=10086, content=17*09#
   795,(江西宜春)     中国移动神州行      :   ID=68   10086,      102
    21,(上海上海)     中国电信电信        :   ID=46   10001,      CXLL
   576,(浙江台州)     中国移动动感地带    :   ID=66   10086,      1581
   354,(山西榆次)     中国移动全球通      :   ID=63   10086,      162
   715,(湖北咸宁)     中国移动神州行      :   ID=19   10086,      CXLL
   937,(甘肃酒泉)     中国移动动感地带    :   ID=71   10086,      105
   663,(广东揭阳)     中国移动动感地带    :   ID=51   10086,      CXGPRSTC
   774,(广西梧州)     中国联通联通2G      :   ID=35   10010,      CXLL
   937,(甘肃酒泉)     中国移动全球通      :   ID=71   10086,      105
   851,(贵州贵阳)     中国联通联通3G      :   ID=26   10010,      1071
   752,(广东惠州)     中国移动神州行      :   ID=51   10086,      CXGPRSTC
   817,(四川南充)     中国联通联通2G      :   ID=61   10010,      704
   660,(广东汕尾)     中国移动神州行      :   ID=51   10086,      CXGPRSTC
   774,(广西梧州)     中国移动神州行      :   ID=69   10086,      103
   759,(广东湛江)     中国移动全球通      :   ID=51   10086,      CXGPRSTC
   561,(安徽濉溪)     中国移动神州行      :   ID=64   10086,      66
   515,(江苏盐城)     中国联通联通3G      :   ID=31   10010,      705
   419,(辽宁辽阳)     中国移动神州行      :   ID=57   10086,      119
   580,(浙江舟山)     中国移动神州行      :   ID=66   10086,      1581
   771,(广西南宁)     中国移动动感地带    :   ID=69   10086,      103
   574,(浙江宁波)     中国移动动感地带    :   ID=66   10086,      1581
   870,(云南昭通)     中国电信电信        :   ID=67   10001,      199
   552,(安徽固镇)     中国联通联通3G      :   ID=26   10010,      1071
   975,(青海玛沁)     中国联通联通3G      :   ID=39   10010,      2082
   762,(广东河源)     中国移动神州行      :   ID=51   10086,      CXGPRSTC
   830,(四川邻水)     中国联通联通3G      :   ID=61   10010,      704
   941,(甘肃甘南)     中国联通联通2G      :   ID=35   10010,      CXLL
   438,(吉林松原)     中国移动全球通      :   ID=20   10086,      CXSJLL
   722,(湖北随枣)     中国联通联通2G      :   ID=60   10010,      查询流量
   318,(河北衡水)     中国联通联通2G      :   ID=62   10010,      7011#201309
   429,(辽宁葫芦岛)   中国移动神州行      :   ID=57   10086,      119
   565,(安徽含山)     中国移动动感地带    :   ID=64   10086,      66
   358,(山西离石)     中国移动全球通      :   ID=63   10086,      162
   559,(安徽黟县)     中国联通联通3G      :   ID=26   10010,      1071
    28,(四川成都)     中国联通联通2G      :   ID=61   10010,      704
   728,(湖北仙桃)     中国移动动感地带    :   ID=19   10086,      CXLL
   768,(广东潮州)     中国移动全球通      :   ID=51   10086,      CXGPRSTC
   349,(山西朔州)     中国移动神州行      :   ID=63   10086,      162
   932,(甘肃定西)     中国移动全球通      :   ID=71   10086,      105
    22,(天津天津)     中国移动全球通      :   ID=54   10086,      话费
   775,(广西玉林)     中国移动神州行      :   ID=69   10086,      103
   793,(江西上饶)     中国移动神州行      :   ID=68   10086,      102
   932,(甘肃定西)     中国移动动感地带    :   ID=71   10086,      105
